clean_date,total_articles,positive,neutral,negative,average_score,average_confidence,positive_ratio,neutral_ratio,negative_ratio,sentiment_index
2016-09-08,1,0,1,0,0.0,0.9357889890670776,0.0,1.0,0.0,0.0
2017-01-29,1,0,1,0,0.0,0.9146474599838256,0.0,1.0,0.0,0.0
2017-01-31,2,1,1,0,0.5,0.9371283948421478,0.5,0.5,0.0,0.5
2017-02-01,1,0,1,0,0.0,0.8588475584983826,0.0,1.0,0.0,0.0
2017-02-05,1,0,0,1,-1.0,0.9560269713401794,0.0,0.0,1.0,-1.0
2017-02-06,2,0,1,1,-0.5,0.9530771672725677,0.0,0.5,0.5,-0.5
2017-02-07,2,0,0,2,-1.0,0.8048713803291321,0.0,0.0,1.0,-1.0
2017-02-08,2,1,1,0,0.5,0.8237820267677307,0.5,0.5,0.0,0.5
2017-02-09,1,0,0,1,-1.0,0.9655781388282776,0.0,0.0,1.0,-1.0
2017-02-12,1,0,0,1,-1.0,0.9540761709213256,0.0,0.0,1.0,-1.0
2017-02-13,1,1,0,0,1.0,0.9294135570526124,1.0,0.0,0.0,1.0
2017-02-14,3,0,2,1,-0.3333333333333333,0.9407389362653097,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-02-15,2,1,0,1,0.0,0.9184579849243164,0.5,0.0,0.5,0.0
2017-02-16,1,1,0,0,1.0,0.9349064230918884,1.0,0.0,0.0,1.0
2017-02-19,1,1,0,0,1.0,0.7963358163833618,1.0,0.0,0.0,1.0
2017-02-20,1,0,0,1,-1.0,0.7756965756416321,0.0,0.0,1.0,-1.0
2017-02-21,1,0,0,1,-1.0,0.9717639088630676,0.0,0.0,1.0,-1.0
2017-02-22,1,0,0,1,-1.0,0.9676555395126344,0.0,0.0,1.0,-1.0
2017-02-23,1,0,1,0,0.0,0.953177571296692,0.0,1.0,0.0,0.0
2017-02-26,1,0,0,1,-1.0,0.9662237763404846,0.0,0.0,1.0,-1.0
2017-02-27,1,0,1,0,0.0,0.925031840801239,0.0,1.0,0.0,0.0
2017-02-28,1,0,0,1,-1.0,0.9515803456306458,0.0,0.0,1.0,-1.0
2017-03-02,2,1,1,0,0.5,0.8703006505966187,0.5,0.5,0.0,0.5
2017-03-03,1,0,1,0,0.0,0.4982099533081054,0.0,1.0,0.0,0.0
2017-03-05,1,1,0,0,1.0,0.9128939509391784,1.0,0.0,0.0,1.0
