DATE,NEPSE,
1-Apr-04,195.1,
2-Apr-04,195.2,
5-Apr-04,196.1,
6-Apr-04,197.3,
7-Apr-04,198.9,
8-Apr-04,199.4,
9-Apr-04,199.5,
12-Apr-04,201.2,
14-Apr-04,202.9,
15-Apr-04,202.1,
16-Apr-04,202.5,
19-Apr-04,202.7,
20-Apr-04,203.1,
21-Apr-04,203.2,
22-Apr-04,203.8,
23-Apr-04,204.1,
26-Apr-04,204.4,
27-Apr-04,204.6,
28-Apr-04,204.6,
29-Apr-04,205.3,
30-Apr-04,205.2,
3-May-04,205.1,
5-May-04,201.0,
6-May-04,201.1,
7-May-04,201.3,
10-May-04,201.5,
11-May-04,201.5,
12-May-04,202.1,
13-May-04,204.4,
14-May-04,204.4,
17-May-04,204.8,
18-May-04,205.1,
19-May-04,205.0,
20-May-04,205.3,
21-May-04,205.1,
24-May-04,205.6,
25-May-04,206.1,
26-May-04,206.3,
27-May-04,206.9,
28-May-04,204.0,
31-May-04,207.4,
1-Jun-04,205.3,
2-Jun-04,208.5,
3-Jun-04,209.1,
4-Jun-04,209.5,
7-Jun-04,210.5,
8-Jun-04,211.8,
9-Jun-04,214.3,
10-Jun-04,216.8,
11-Jun-04,216.4,
14-Jun-04,213.1,
15-Jun-04,211.3,
16-Jun-04,211.5,
21-Jun-04,211.5,
22-Jun-04,213.3,
23-Jun-04,215.1,
24-Jun-04,216.5,
25-Jun-04,217.5,
28-Jun-04,217.4,
29-Jun-04,217.7,
30-Jun-04,218.7,
1-Jul-04,219.4,
2-Jul-04,220.8,
5-Jul-04,225.2,
6-Jul-04,227.8,
8-Jul-04,226.9,
9-Jul-04,226.3,
12-Jul-04,226.2,
13-Jul-04,226.4,
14-Jul-04,226.6,
15-Jul-04,222.0,
16-Jul-04,222.7,
19-Jul-04,223.5,
20-Jul-04,224.4,
21-Jul-04,224.4,
22-Jul-04,223.4,
23-Jul-04,224.1,
27-Jul-04,224.6,
28-Jul-04,224.9,
29-Jul-04,225.5,
30-Jul-04,226.7,
2-Aug-04,227.3,
3-Aug-04,228.8,
4-Aug-04,230.2,
5-Aug-04,231.1,
6-Aug-04,232.4,
9-Aug-04,232.5,
10-Aug-04,233.5,
11-Aug-04,235.7,
12-Aug-04,236.8,
